gtpath, predpath, gt numsyms, pred numsyms, SEC (symbol edit cost), SECR (SEC / total numsyms)
/Users/gregc/Documents/test/greg_results/gt/175_.kern, /Users/gregc/Documents/test/greg_results/pred/175_.kern, 777, 623, 1290, 0.9214285714285714
/Users/gregc/Documents/test/greg_results/gt/188_.kern, /Users/gregc/Documents/test/greg_results/pred/188_.kern, 542, 476, 914, 0.8978388998035364
/Users/gregc/Documents/test/greg_results/gt/231_.kern, /Users/gregc/Documents/test/greg_results/pred/231_.kern, 247, 263, 330, 0.6470588235294118
/Users/gregc/Documents/test/greg_results/gt/274_.kern, /Users/gregc/Documents/test/greg_results/pred/274_.kern, 218, 190, 344, 0.8431372549019608
/Users/gregc/Documents/test/greg_results/gt/308_.kern, /Users/gregc/Documents/test/greg_results/pred/308_.kern, 220, 184, 315, 0.7797029702970297
/Users/gregc/Documents/test/greg_results/gt/460_.kern, /Users/gregc/Documents/test/greg_results/pred/460_.kern, 359, 355, 50, 0.0700280112044818
/Users/gregc/Documents/test/greg_results/gt/425_.kern, /Users/gregc/Documents/test/greg_results/pred/425_.kern, 197, 191, 175, 0.45103092783505155
/Users/gregc/Documents/test/greg_results/gt/250_.kern, /Users/gregc/Documents/test/greg_results/pred/250_.kern, 223, 214, 313, 0.7162471395881007
/Users/gregc/Documents/test/greg_results/gt/114_.kern, /Users/gregc/Documents/test/greg_results/pred/114_.kern, 271, 272, 483, 0.8895027624309392
/Users/gregc/Documents/test/greg_results/gt/46_.kern, /Users/gregc/Documents/test/greg_results/pred/46_.kern, 404, 394, 472, 0.5914786967418546
/Users/gregc/Documents/test/greg_results/gt/129_.kern, /Users/gregc/Documents/test/greg_results/pred/129_.kern, 371, 364, 526, 0.7156462585034014
/Users/gregc/Documents/test/greg_results/gt/228_.kern, /Users/gregc/Documents/test/greg_results/pred/228_.kern, 352, 353, 359, 0.5092198581560283
/Users/gregc/Documents/test/greg_results/gt/86_.kern, /Users/gregc/Documents/test/greg_results/pred/86_.kern, 177, 181, 118, 0.329608938547486
/Users/gregc/Documents/test/greg_results/gt/505_.kern, /Users/gregc/Documents/test/greg_results/pred/505_.kern, 345, 293, 476, 0.7460815047021944
/Users/gregc/Documents/test/greg_results/gt/370_.kern, /Users/gregc/Documents/test/greg_results/pred/370_.kern, 410, 272, 603, 0.8841642228739003
/Users/gregc/Documents/test/greg_results/gt/418_.kern, /Users/gregc/Documents/test/greg_results/pred/418_.kern, 225, 223, 77, 0.171875
/Users/gregc/Documents/test/greg_results/gt/507_.kern, /Users/gregc/Documents/test/greg_results/pred/507_.kern, 354, 305, 164, 0.2488619119878604
/Users/gregc/Documents/test/greg_results/gt/84_.kern, /Users/gregc/Documents/test/greg_results/pred/84_.kern, 250, 246, 154, 0.31048387096774194
/Users/gregc/Documents/test/greg_results/gt/79_.kern, /Users/gregc/Documents/test/greg_results/pred/79_.kern, 151, 150, 170, 0.5647840531561462
/Users/gregc/Documents/test/greg_results/gt/372_.kern, /Users/gregc/Documents/test/greg_results/pred/372_.kern, 209, 185, 201, 0.5101522842639594
/Users/gregc/Documents/test/greg_results/gt/462_.kern, /Users/gregc/Documents/test/greg_results/pred/462_.kern, 355, 263, 430, 0.6957928802588996
/Users/gregc/Documents/test/greg_results/gt/427_.kern, /Users/gregc/Documents/test/greg_results/pred/427_.kern, 230, 192, 313, 0.7417061611374408
/Users/gregc/Documents/test/greg_results/gt/44_.kern, /Users/gregc/Documents/test/greg_results/pred/44_.kern, 322, 307, 542, 0.8616852146263911
/Users/gregc/Documents/test/greg_results/gt/116_.kern, /Users/gregc/Documents/test/greg_results/pred/116_.kern, 238, 227, 288, 0.6193548387096774
/Users/gregc/Documents/test/greg_results/gt/153_.kern, /Users/gregc/Documents/test/greg_results/pred/153_.kern, 174, 106, 192, 0.6857142857142857
/Users/gregc/Documents/test/greg_results/gt/217_.kern, /Users/gregc/Documents/test/greg_results/pred/217_.kern, 372, 209, 403, 0.693631669535284
/Users/gregc/Documents/test/greg_results/gt/252_.kern, /Users/gregc/Documents/test/greg_results/pred/252_.kern, 332, 276, 520, 0.8552631578947368
/Users/gregc/Documents/test/greg_results/gt/396_.kern, /Users/gregc/Documents/test/greg_results/pred/396_.kern, 415, 438, 378, 0.44314185228604924
/Users/gregc/Documents/test/greg_results/gt/446_.kern, /Users/gregc/Documents/test/greg_results/pred/446_.kern, 248, 154, 230, 0.572139303482587
/Users/gregc/Documents/test/greg_results/gt/403_.kern, /Users/gregc/Documents/test/greg_results/pred/403_.kern, 207, 236, 279, 0.6297968397291196
/Users/gregc/Documents/test/greg_results/gt/233_.kern, /Users/gregc/Documents/test/greg_results/pred/233_.kern, 307, 194, 453, 0.9041916167664671
/Users/gregc/Documents/test/greg_results/gt/276_.kern, /Users/gregc/Documents/test/greg_results/pred/276_.kern, 207, 210, 323, 0.7745803357314148
/Users/gregc/Documents/test/greg_results/gt/132_.kern, /Users/gregc/Documents/test/greg_results/pred/132_.kern, 331, 318, 544, 0.8382126348228043
/Users/gregc/Documents/test/greg_results/gt/177_.kern, /Users/gregc/Documents/test/greg_results/pred/177_.kern, 370, 309, 579, 0.8527245949926362
/Users/gregc/Documents/test/greg_results/gt/60_.kern, /Users/gregc/Documents/test/greg_results/pred/60_.kern, 249, 225, 282, 0.5949367088607594
/Users/gregc/Documents/test/greg_results/gt/6_.kern, /Users/gregc/Documents/test/greg_results/pred/6_.kern, 132, 128, 171, 0.6576923076923077
/Users/gregc/Documents/test/greg_results/gt/356_.kern, /Users/gregc/Documents/test/greg_results/pred/356_.kern, 413, 137, 516, 0.9381818181818182
/Users/gregc/Documents/test/greg_results/gt/313_.kern, /Users/gregc/Documents/test/greg_results/pred/313_.kern, 145, 155, 196, 0.6533333333333333
/Users/gregc/Documents/test/greg_results/gt/486_.kern, /Users/gregc/Documents/test/greg_results/pred/486_.kern, 413, 334, 461, 0.6171352074966533
/Users/gregc/Documents/test/greg_results/gt/136_.kern, /Users/gregc/Documents/test/greg_results/pred/136_.kern, 195, 188, 317, 0.8276762402088773
/Users/gregc/Documents/test/greg_results/gt/21_.kern, /Users/gregc/Documents/test/greg_results/pred/21_.kern, 419, 421, 676, 0.8047619047619048
/Users/gregc/Documents/test/greg_results/gt/99_.kern, /Users/gregc/Documents/test/greg_results/pred/99_.kern, 355, 339, 252, 0.3631123919308357
/Users/gregc/Documents/test/greg_results/gt/237_.kern, /Users/gregc/Documents/test/greg_results/pred/237_.kern, 289, 232, 427, 0.8195777351247601
/Users/gregc/Documents/test/greg_results/gt/272_.kern, /Users/gregc/Documents/test/greg_results/pred/272_.kern, 255, 251, 228, 0.4505928853754941
/Users/gregc/Documents/test/greg_results/gt/407_.kern, /Users/gregc/Documents/test/greg_results/pred/407_.kern, 220, 205, 264, 0.6211764705882353
/Users/gregc/Documents/test/greg_results/gt/392_.kern, /Users/gregc/Documents/test/greg_results/pred/392_.kern, 275, 275, 6, 0.01090909090909091
/Users/gregc/Documents/test/greg_results/gt/482_.kern, /Users/gregc/Documents/test/greg_results/pred/482_.kern, 352, 302, 511, 0.7813455657492355
/Users/gregc/Documents/test/greg_results/gt/352_.kern, /Users/gregc/Documents/test/greg_results/pred/352_.kern, 184, 243, 264, 0.6182669789227166
/Users/gregc/Documents/test/greg_results/gt/317_.kern, /Users/gregc/Documents/test/greg_results/pred/317_.kern, 142, 130, 165, 0.6066176470588235
/Users/gregc/Documents/test/greg_results/gt/527_.kern, /Users/gregc/Documents/test/greg_results/pred/527_.kern, 137, 133, 199, 0.737037037037037
/Users/gregc/Documents/test/greg_results/gt/59_.kern, /Users/gregc/Documents/test/greg_results/pred/59_.kern, 384, 386, 732, 0.9506493506493506
/Users/gregc/Documents/test/greg_results/gt/333_.kern, /Users/gregc/Documents/test/greg_results/pred/333_.kern, 270, 272, 344, 0.6346863468634686
/Users/gregc/Documents/test/greg_results/gt/296_.kern, /Users/gregc/Documents/test/greg_results/pred/296_.kern, 138, 127, 202, 0.7622641509433963
/Users/gregc/Documents/test/greg_results/gt/38_.kern, /Users/gregc/Documents/test/greg_results/pred/38_.kern, 378, 340, 376, 0.5236768802228412
/Users/gregc/Documents/test/greg_results/gt/503_.kern, /Users/gregc/Documents/test/greg_results/pred/503_.kern, 343, 333, 261, 0.386094674556213
/Users/gregc/Documents/test/greg_results/gt/197_.kern, /Users/gregc/Documents/test/greg_results/pred/197_.kern, 332, 347, 474, 0.6980854197349042
/Users/gregc/Documents/test/greg_results/gt/80_.kern, /Users/gregc/Documents/test/greg_results/pred/80_.kern, 359, 344, 422, 0.6002844950213371
/Users/gregc/Documents/test/greg_results/gt/213_.kern, /Users/gregc/Documents/test/greg_results/pred/213_.kern, 246, 283, 269, 0.5085066162570888
